n-value	grahamsScan	jarvisMarch
1000	0.122ms	0.1018ms
2000	0.3682ms	0.3298ms
3000	0.804ms	0.7066ms
4000	1.3676ms	1.2128ms
5000	2.1542ms	1.8448ms
6000	3.1136ms	2.6016ms
7000	4.2228ms	3.4958ms
8000	5.5472ms	4.4642ms
9000	7.0378ms	5.5426ms
10000	8.5724ms	6.7652ms
11000	10.5214ms	8.2214ms
12000	12.5ms	9.792ms
13000	14.767ms	11.6612ms
14000	17.2856ms	13.5742ms
15000	19.8998ms	15.5546ms
16000	22.6454ms	17.7914ms
17000	25.489ms	20.0122ms
18000	28.5864ms	22.3736ms
19000	32.0906ms	25.0832ms
20000	35.4968ms	27.796ms
