n-value	grahamsScan	jarvisMarch
1000	0.1518ms	1.344ms
2000	0.4234ms	6.2362ms
3000	0.8144ms	17.0976ms
4000	1.4162ms	36.188ms
5000	2.0972ms	66.6978ms
6000	3.0884ms	114.901ms
7000	4.206ms	174.034ms
8000	5.5186ms	250.201ms
9000	7.0018ms	352.094ms
10000	8.85ms	479.696ms
11000	10.8412ms	630.831ms
12000	13.005ms	803.663ms
13000	15.397ms	1006.4ms
14000	17.972ms	1237.03ms
15000	20.742ms	1502.7ms
16000	23.6414ms	1806.86ms
17000	26.7802ms	2146.61ms
18000	30.2344ms	2528.86ms
19000	33.9416ms	2960.24ms
20000	37.4112ms	3438.35ms
